event_id,user_id,event_time,event_name,product_id,session_id
1,1,2025-05-08 13:31:00,visit,,session_1_1
2,1,2025-05-08 13:32:37,view_product,110.0,session_1_1
3,1,2025-05-08 13:34:35,add_to_cart,110.0,session_1_1
4,1,2025-05-20 05:22:00,visit,,session_1_2
5,1,2025-05-20 05:24:49,view_product,270.0,session_1_2
6,2,2025-01-22 20:24:00,visit,,session_2_1
7,2,2025-01-22 20:25:14,view_product,401.0,session_2_1
8,2,2025-02-03 15:19:00,visit,,session_2_2
9,2,2025-02-03 15:19:56,view_product,435.0,session_2_2
10,2,2025-02-03 15:23:33,add_to_cart,435.0,session_2_2
11,2,2025-02-03 15:27:30,checkout,435.0,session_2_2
12,2,2025-02-03 15:35:22,purchase,435.0,session_2_2
13,3,2025-01-05 06:28:00,visit,,session_3_1
14,3,2025-01-05 06:30:31,view_product,117.0,session_3_1
15,3,2025-01-05 06:34:36,add_to_cart,117.0,session_3_1
16,3,2025-01-05 06:35:46,checkout,117.0,session_3_1
17,3,2025-01-05 06:38:24,purchase,117.0,session_3_1
18,3,2025-01-24 12:28:00,visit,,session_3_2
19,3,2025-01-24 12:29:35,view_product,376.0,session_3_2
20,3,2025-02-08 19:13:00,visit,,session_3_3
21,3,2025-02-08 19:15:10,view_product,396.0,session_3_3
22,5,2025-03-02 11:38:00,visit,,session_5_1
23,5,2025-03-02 11:39:41,view_product,42.0,session_5_1
24,5,2025-03-17 23:00:00,visit,,session_5_2
25,6,2025-02-24 21:33:00,visit,,session_6_1
26,6,2025-02-24 21:35:37,view_product,413.0,session_6_1
27,7,2025-02-16 15:18:00,visit,,session_7_1
28,7,2025-02-16 15:20:26,view_product,27.0,session_7_1
29,8,2025-01-28 09:43:00,visit,,session_8_1
30,8,2025-01-28 09:45:05,view_product,147.0,session_8_1
31,8,2025-02-10 21:55:00,visit,,session_8_2
32,8,2025-02-10 21:56:05,view_product,488.0,session_8_2
33,8,2025-02-10 21:58:52,add_to_cart,488.0,session_8_2
34,8,2025-02-10 22:03:21,checkout,488.0,session_8_2
35,8,2025-02-10 22:08:51,purchase,488.0,session_8_2
36,10,2025-01-20 10:24:00,visit,,session_10_1
37,10,2025-01-20 10:24:42,view_product,366.0,session_10_1
38,10,2025-02-05 13:00:00,visit,,session_10_2
39,10,2025-02-05 13:02:58,view_product,315.0,session_10_2
40,10,2025-02-05 13:04:26,add_to_cart,315.0,session_10_2
41,10,2025-02-05 13:06:06,checkout,315.0,session_10_2
42,10,2025-02-05 13:13:57,purchase,315.0,session_10_2
43,11,2025-05-15 19:55:00,visit,,session_11_1
44,11,2025-05-15 19:56:16,view_product,118.0,session_11_1
45,12,2025-05-25 20:35:00,visit,,session_12_1
46,12,2025-05-25 20:36:54,view_product,401.0,session_12_1
47,12,2025-06-14 19:55:00,visit,,session_12_2
48,12,2025-06-14 19:57:03,view_product,493.0,session_12_2
49,12,2025-06-14 20:00:47,add_to_cart,493.0,session_12_2
50,12,2025-06-14 20:04:42,checkout,493.0,session_12_2
51,12,2025-06-14 20:12:04,purchase,493.0,session_12_2
52,13,2025-06-23 18:18:00,visit,,session_13_1
53,13,2025-06-30 08:25:00,visit,,session_13_2
54,13,2025-06-30 08:25:16,view_product,131.0,session_13_2
55,13,2025-06-30 08:27:46,add_to_cart,131.0,session_13_2
56,14,2025-04-19 14:27:00,visit,,session_14_1
57,14,2025-04-19 14:29:48,view_product,185.0,session_14_1
58,14,2025-04-19 14:34:03,add_to_cart,185.0,session_14_1
59,15,2025-01-18 04:03:00,visit,,session_15_1
60,15,2025-01-18 04:04:15,view_product,358.0,session_15_1
61,15,2025-01-18 04:06:20,add_to_cart,358.0,session_15_1
62,15,2025-01-18 04:09:02,checkout,358.0,session_15_1
63,15,2025-01-18 04:16:11,purchase,358.0,session_15_1
64,15,2025-01-26 16:35:00,visit,,session_15_2
65,15,2025-02-06 16:42:00,visit,,session_15_3
66,15,2025-02-06 16:42:23,view_product,250.0,session_15_3
67,15,2025-02-06 16:45:55,add_to_cart,250.0,session_15_3
68,15,2025-02-06 16:49:16,checkout,250.0,session_15_3
69,15,2025-02-06 16:52:15,purchase,250.0,session_15_3
70,17,2025-03-30 10:21:00,visit,,session_17_1
71,17,2025-03-30 10:23:54,view_product,37.0,session_17_1
72,17,2025-04-04 17:00:00,visit,,session_17_2
73,17,2025-04-04 17:02:37,view_product,209.0,session_17_2
74,17,2025-04-04 17:07:33,add_to_cart,209.0,session_17_2
75,18,2025-01-07 16:54:00,visit,,session_18_1
76,18,2025-01-07 16:56:13,view_product,267.0,session_18_1
77,18,2025-01-07 16:58:32,add_to_cart,267.0,session_18_1
78,18,2025-01-07 17:02:12,checkout,267.0,session_18_1
79,18,2025-01-07 17:12:00,purchase,267.0,session_18_1
80,18,2025-01-22 04:45:00,visit,,session_18_2
81,18,2025-01-22 04:46:38,view_product,98.0,session_18_2
82,18,2025-01-22 04:50:32,add_to_cart,98.0,session_18_2
83,18,2025-01-22 04:53:40,checkout,98.0,session_18_2
84,18,2025-01-22 04:56:14,purchase,98.0,session_18_2
85,18,2025-02-06 22:17:00,visit,,session_18_3
86,19,2025-01-06 00:14:00,visit,,session_19_1
87,19,2025-01-06 00:14:12,view_product,139.0,session_19_1
88,19,2025-01-06 00:16:44,add_to_cart,139.0,session_19_1
89,19,2025-01-06 00:18:59,checkout,139.0,session_19_1
90,19,2025-01-06 00:26:00,purchase,139.0,session_19_1
91,19,2025-01-12 23:45:00,visit,,session_19_2
92,19,2025-01-12 23:47:56,view_product,109.0,session_19_2
93,19,2025-01-12 23:52:46,add_to_cart,109.0,session_19_2
94,19,2025-01-12 23:54:05,checkout,109.0,session_19_2
95,19,2025-01-12 23:58:50,purchase,109.0,session_19_2
96,19,2025-01-22 18:53:00,visit,,session_19_3
97,19,2025-01-22 18:54:18,view_product,338.0,session_19_3
98,19,2025-01-22 18:56:33,add_to_cart,338.0,session_19_3
99,19,2025-01-22 19:00:37,checkout,338.0,session_19_3
100,19,2025-01-22 19:06:39,purchase,338.0,session_19_3
101,19,2025-02-08 22:56:00,visit,,session_19_4
102,19,2025-02-08 22:56:17,view_product,150.0,session_19_4
103,19,2025-02-08 22:59:27,add_to_cart,150.0,session_19_4
