user_id,registration_date,country,device,traffic_source
1,2025-05-05,Russia,mobile,organic
2,2025-01-22,Russia,desktop,email
3,2025-01-05,Armenia,mobile,paid_search
4,2025-05-24,Russia,mobile,social
5,2025-02-23,Russia,mobile,social
6,2025-02-17,Russia,mobile,social
7,2025-02-13,Belarus,mobile,direct
8,2025-01-28,Russia,mobile,organic
9,2025-05-24,Georgia,mobile,organic
10,2025-01-20,Russia,desktop,social
11,2025-05-12,Belarus,desktop,social
12,2025-05-24,Georgia,mobile,social
13,2025-06-23,Belarus,desktop,direct
14,2025-04-16,Russia,desktop,organic
15,2025-01-17,Russia,mobile,organic
16,2025-04-25,Russia,mobile,organic
17,2025-03-23,Russia,mobile,paid_search
18,2025-01-07,Russia,mobile,referral
19,2025-01-06,Russia,desktop,organic
20,2025-01-19,Kazakhstan,mobile,paid_search
21,2025-02-12,Georgia,desktop,social
22,2025-02-15,Russia,desktop,direct
23,2025-04-09,Russia,mobile,paid_search
24,2025-04-27,Russia,mobile,referral
25,2025-01-06,Belarus,mobile,email
26,2025-04-19,Russia,tablet,paid_search
27,2025-02-08,Russia,mobile,social
28,2025-05-20,Russia,mobile,direct
29,2025-05-07,Russia,mobile,referral
30,2025-05-17,Russia,mobile,organic
31,2025-04-16,Russia,desktop,direct
32,2025-03-23,Russia,mobile,paid_search
33,2025-02-12,Georgia,mobile,referral
34,2025-03-29,Belarus,mobile,email
35,2025-04-25,Russia,mobile,organic
36,2025-02-24,Russia,mobile,paid_search
37,2025-06-07,Russia,tablet,direct
38,2025-06-18,Russia,mobile,organic
39,2025-01-02,Armenia,desktop,organic
40,2025-05-28,Russia,desktop,organic
41,2025-06-06,Kazakhstan,mobile,direct
42,2025-02-01,Russia,mobile,paid_search
43,2025-05-16,Russia,tablet,direct
44,2025-03-24,Belarus,mobile,organic
45,2025-03-08,Belarus,tablet,organic
46,2025-02-23,Russia,mobile,direct
47,2025-01-31,Kazakhstan,mobile,paid_search
48,2025-02-11,Russia,mobile,direct
49,2025-05-29,Russia,mobile,social
50,2025-03-07,Kazakhstan,mobile,paid_search
51,2025-01-20,Georgia,desktop,paid_search
52,2025-01-19,Russia,mobile,organic
53,2025-03-15,Russia,mobile,organic
54,2025-01-19,Russia,mobile,social
55,2025-03-11,Russia,tablet,direct
56,2025-06-14,Russia,mobile,email
57,2025-03-08,Russia,mobile,referral
58,2025-04-28,Russia,mobile,direct
59,2025-02-21,Belarus,mobile,organic
60,2025-06-06,Russia,mobile,paid_search
61,2025-01-09,Kazakhstan,desktop,referral
62,2025-05-22,Russia,mobile,paid_search
63,2025-03-31,Belarus,mobile,organic
64,2025-04-15,Russia,mobile,organic
65,2025-01-25,Russia,tablet,paid_search
66,2025-06-29,Belarus,mobile,organic
67,2025-03-15,Georgia,desktop,referral
68,2025-01-16,Armenia,desktop,organic
69,2025-04-18,Russia,mobile,paid_search
70,2025-02-26,Russia,mobile,referral
71,2025-06-11,Russia,desktop,paid_search
72,2025-05-03,Russia,tablet,referral
73,2025-05-01,Russia,desktop,organic
74,2025-06-21,Russia,tablet,social
75,2025-06-17,Russia,desktop,organic
76,2025-03-12,Russia,mobile,direct
77,2025-04-23,Russia,tablet,organic
78,2025-02-07,Russia,mobile,email
79,2025-05-17,Russia,mobile,direct
80,2025-01-14,Russia,mobile,social
81,2025-01-09,Russia,mobile,social
82,2025-05-09,Armenia,mobile,email
83,2025-02-14,Russia,mobile,email
84,2025-05-31,Russia,mobile,direct
85,2025-02-26,Russia,mobile,referral
86,2025-01-16,Georgia,mobile,organic
87,2025-06-16,Russia,tablet,direct
88,2025-02-15,Belarus,mobile,organic
89,2025-06-18,Belarus,desktop,social
90,2025-01-20,Georgia,desktop,organic
91,2025-03-15,Belarus,mobile,email
92,2025-02-23,Armenia,mobile,organic
93,2025-03-30,Russia,mobile,organic
94,2025-05-04,Russia,desktop,organic
95,2025-06-11,Russia,mobile,paid_search
96,2025-03-12,Armenia,desktop,organic
97,2025-02-01,Russia,mobile,organic
98,2025-03-13,Kazakhstan,desktop,organic
99,2025-03-10,Kazakhstan,mobile,paid_search
100,2025-02-10,Russia,mobile,direct
101,2025-05-11,Armenia,mobile,direct
102,2025-02-21,Russia,mobile,organic
103,2025-05-17,Russia,desktop,direct
104,2025-05-13,Belarus,desktop,organic
105,2025-05-06,Russia,mobile,direct
106,2025-01-14,Armenia,mobile,social
107,2025-04-29,Russia,tablet,direct
108,2025-05-04,Georgia,desktop,direct
109,2025-02-03,Russia,desktop,paid_search
110,2025-04-14,Armenia,desktop,direct
111,2025-05-22,Belarus,mobile,direct
112,2025-02-17,Russia,desktop,direct
113,2025-02-01,Russia,desktop,paid_search
114,2025-03-31,Russia,desktop,organic
115,2025-03-15,Russia,mobile,paid_search
116,2025-02-22,Belarus,tablet,organic
117,2025-06-29,Russia,mobile,referral
118,2025-05-05,Russia,tablet,organic
119,2025-05-14,Georgia,mobile,referral
120,2025-04-19,Russia,mobile,paid_search
121,2025-02-12,Kazakhstan,mobile,social
122,2025-05-13,Russia,mobile,social
123,2025-03-04,Russia,desktop,organic
124,2025-06-13,Armenia,mobile,email
125,2025-05-30,Kazakhstan,desktop,paid_search
126,2025-05-31,Russia,desktop,paid_search
127,2025-01-11,Russia,desktop,email
128,2025-02-14,Russia,mobile,paid_search
129,2025-06-09,Russia,mobile,organic
130,2025-01-07,Russia,tablet,email
131,2025-06-06,Armenia,desktop,paid_search
132,2025-03-03,Russia,mobile,organic
133,2025-03-19,Russia,mobile,email
134,2025-02-21,Russia,mobile,organic
135,2025-01-13,Russia,tablet,direct
136,2025-02-10,Russia,mobile,social
137,2025-06-27,Russia,mobile,direct
138,2025-04-21,Kazakhstan,desktop,organic
139,2025-06-20,Russia,mobile,organic
140,2025-05-20,Russia,desktop,organic
141,2025-03-03,Russia,desktop,organic
142,2025-02-11,Russia,mobile,organic
143,2025-05-08,Russia,mobile,direct
144,2025-04-07,Kazakhstan,mobile,paid_search
145,2025-03-18,Russia,tablet,social
146,2025-06-21,Russia,mobile,direct
147,2025-06-27,Russia,desktop,email
148,2025-05-05,Georgia,mobile,referral
149,2025-03-31,Armenia,desktop,email
150,2025-01-28,Russia,desktop,social
