product_id,category,price
1,clothing,7205.01
2,sports,19570.0
3,electronics,10094.67
4,electronics,110986.96
5,electronics,111884.19
6,clothing,4629.86
7,beauty,1408.94
8,sports,2149.22
9,beauty,6572.8
10,books,3952.37
11,electronics,55867.12
12,clothing,10398.85
13,clothing,2692.52
14,books,3902.87
15,clothing,9205.01
16,beauty,4159.96
17,clothing,20450.91
18,beauty,1846.66
19,beauty,2770.09
20,beauty,1778.75
21,home,14166.0
22,accessories,12590.38
23,clothing,24086.36
24,beauty,1604.34
25,books,2943.92
26,beauty,10901.13
27,books,1626.81
28,home,10248.86
29,electronics,73838.2
30,home,43984.69
31,accessories,2221.64
32,beauty,7276.12
33,home,17762.94
34,books,2098.05
35,books,3087.93
36,home,17558.77
37,books,884.45
38,accessories,12400.94
39,accessories,19720.04
40,beauty,1173.14
41,accessories,8500.67
42,home,35405.28
43,beauty,11732.3
44,beauty,6132.16
45,home,25096.16
46,electronics,115208.75
47,beauty,6372.46
48,beauty,5407.24
49,home,3584.0
50,sports,9054.04
51,home,10465.17
52,accessories,4983.11
53,electronics,67150.12
54,books,4159.48
55,clothing,24029.51
56,sports,29155.33
57,electronics,55100.21
58,sports,33150.95
59,home,43466.97
60,beauty,5108.13
61,electronics,102219.65
62,home,20430.08
63,home,8572.39
64,sports,23300.53
65,home,15098.74
66,clothing,7734.16
67,books,3245.55
68,electronics,47179.0
69,clothing,7709.45
70,accessories,5458.68
71,beauty,4426.79
72,home,43803.67
73,beauty,3184.93
74,clothing,24393.36
75,beauty,12610.21
76,beauty,513.56
77,electronics,70509.53
78,electronics,149482.7
79,clothing,14294.87
80,electronics,124124.35
81,electronics,47864.88
82,electronics,12391.54
83,home,20559.25
84,books,2448.39
85,electronics,67271.34
86,electronics,95739.09
87,clothing,23788.74
88,sports,38903.03
89,electronics,115692.18
90,electronics,93514.94
91,electronics,115829.28
92,sports,3738.51
93,clothing,5774.03
94,beauty,9377.5
95,sports,14154.76
96,sports,1401.59
97,books,623.51
98,beauty,12583.05
99,electronics,58745.84
100,sports,17574.95
101,sports,19086.83
102,home,25792.01
103,home,42328.61
104,electronics,19691.24
105,beauty,7627.67
106,accessories,4353.63
107,clothing,11847.57
108,sports,5270.83
109,home,13239.59
110,home,18441.82
111,books,1028.45
112,accessories,6810.44
113,beauty,7819.25
114,books,3834.0
115,accessories,16709.38
116,clothing,13895.24
117,books,1496.44
118,accessories,2075.07
119,home,9009.08
120,home,19023.98
121,accessories,8945.4
122,clothing,24310.52
123,home,37439.59
124,books,4288.14
125,sports,20320.95
126,sports,15953.08
127,home,37875.42
128,accessories,7580.95
129,books,358.85
130,clothing,16268.89
131,sports,10203.73
132,electronics,7791.77
133,sports,30464.02
134,accessories,3801.47
135,beauty,13650.75
136,clothing,2438.57
137,home,47310.53
138,clothing,6720.91
139,beauty,1008.61
140,home,49984.05
141,electronics,78006.44
142,home,10287.19
